Installation,Taux occupation civières(%),Nombre de civières fonctionnelles,Nombre de patients sur civière,Nombre de patients sur civière +24h,Nombre de patients sur civière +48h,Nombre patients arrivés en ambulance,Nombre inscriptions,Nombre inscriptions avec SAG,date
Hôpital de Verdun,135,26,35,11,0,25,70,0,2020-07-12
Hôpital Notre-Dame,109,35,38,20,6,34,75,0,2020-07-12
Hôpital du Sacré-Coeur de Montréal,72,46,33,8,1,29,122,0,2020-07-12
Hôpital Fleury,78,18,14,0,0,20,77,0,2020-07-12
Hôpital Jean-Talon,95,22,21,6,1,22,85,0,2020-07-12
Pavillon Albert-Prévost,77,13,10,7,1,0,5,0,2020-07-12
Hôpital de Lachine,107,14,15,2,0,7,39,0,2020-07-12
Hôpital général de Montréal,84,31,26,7,3,26,65,0,2020-07-12
Hôpital Royal Victoria,106,33,35,17,10,15,105,0,2020-07-12
L'hôpital de Montréal pour enfants,83,12,10,0,0,6,115,0,2020-07-12
Institut de cardiologie de Montréal,91,22,20,6,0,0,40,0,2020-07-12
CHU Sainte-Justine,12,16,2,0,0,10,162,10,2020-07-13
Centre hospitalier de l'Université de Montréal,106,51,54,8,0,49,202,0,2020-07-13
Hôpital Louis-H. Lafontaine,42,12,5,3,2,1,12,0,2020-07-13
Hôpital Santa Cabrini,100,38,38,17,6,36,98,0,2020-07-13
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,109,54,59,11,5,44,190,1,2020-07-13
Centre hospitalier de St. Mary,86,22,19,2,1,19,108,0,2020-07-13
Hôpital de LaSalle,53,15,8,1,0,9,72,0,2020-07-13
Hôpital Douglas,83,6,5,0,0,3,19,0,2020-07-13
Hôpital général du Lakeshore,145,31,45,19,4,24,120,0,2020-07-13
L'Hôpital général juif Sir Mortimer B. Davis,91,53,48,3,0,37,237,0,2020-07-13
Hôpital de Verdun,150,26,39,9,1,31,108,0,2020-07-13
Hôpital Notre-Dame,117,35,41,12,7,35,106,0,2020-07-13
Hôpital du Sacré-Coeur de Montréal,76,46,35,2,1,33,171,0,2020-07-13
Hôpital Fleury,56,18,10,1,0,15,89,0,2020-07-13
Hôpital Jean-Talon,73,22,16,7,0,19,100,0,2020-07-13
Pavillon Albert-Prévost,69,13,9,4,3,2,9,0,2020-07-13
Hôpital de Lachine,86,14,12,4,0,8,55,0,2020-07-13
Hôpital général de Montréal,94,31,29,6,1,31,97,0,2020-07-13
Hôpital Royal Victoria,118,33,39,12,6,20,134,0,2020-07-13
L'hôpital de Montréal pour enfants,33,12,4,1,0,2,126,0,2020-07-13
Institut de cardiologie de Montréal,91,22,20,6,1,3,63,0,2020-07-13
CHU Sainte-Justine,38,16,6,0,0,8,147,5,2020-07-14
Centre hospitalier de l'Université de Montréal,106,51,54,14,1,57,194,0,2020-07-14
Hôpital Louis-H. Lafontaine,58,12,7,2,1,3,18,0,2020-07-14
Hôpital Santa Cabrini,108,38,41,16,7,40,107,0,2020-07-14
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,120,54,65,17,3,45,173,0,2020-07-14
Centre hospitalier de St. Mary,105,22,23,4,0,23,97,0,2020-07-14
Hôpital de LaSalle,67,15,10,1,0,12,90,0,2020-07-14
Hôpital Douglas,83,6,5,0,0,1,16,0,2020-07-14
Hôpital général du Lakeshore,97,31,30,13,3,19,104,0,2020-07-14
L'Hôpital général juif Sir Mortimer B. Davis,106,53,56,5,2,33,196,0,2020-07-14
Hôpital de Verdun,154,26,40,16,2,27,113,0,2020-07-14
Hôpital Notre-Dame,103,35,36,19,3,33,113,0,2020-07-14
Hôpital du Sacré-Coeur de Montréal,93,46,43,9,0,25,142,0,2020-07-14
Hôpital Fleury,67,18,12,0,0,20,80,0,2020-07-14
Hôpital Jean-Talon,109,22,24,3,0,24,114,0,2020-07-14
Pavillon Albert-Prévost,23,13,3,1,0,3,11,0,2020-07-14
Hôpital de Lachine,93,14,13,3,0,9,41,0,2020-07-14
Hôpital général de Montréal,97,31,30,4,0,21,68,0,2020-07-14
Hôpital Royal Victoria,112,33,37,10,2,18,124,0,2020-07-14
L'hôpital de Montréal pour enfants,33,12,4,1,0,3,104,2,2020-07-14
Institut de cardiologie de Montréal,82,22,18,3,0,3,47,0,2020-07-14
CHU Sainte-Justine,25,16,4,0,0,16,135,10,2020-07-15
Centre hospitalier de l'Université de Montréal,110,51,56,10,3,49,157,0,2020-07-15
Hôpital Louis-H. Lafontaine,33,12,4,4,1,1,9,0,2020-07-15
Hôpital Santa Cabrini,84,38,32,13,4,31,107,0,2020-07-15
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,115,54,62,20,4,50,181,0,2020-07-15
Centre hospitalier de St. Mary,86,22,19,2,0,20,87,2,2020-07-15
Hôpital de LaSalle,60,15,9,0,0,6,94,0,2020-07-15
Hôpital Douglas,117,6,7,0,0,3,19,0,2020-07-15
Hôpital général du Lakeshore,106,31,33,3,2,20,101,0,2020-07-15
L'Hôpital général juif Sir Mortimer B. Davis,87,53,46,5,0,35,198,0,2020-07-15
Hôpital de Verdun,77,26,20,4,0,33,115,0,2020-07-15
Hôpital Notre-Dame,114,35,40,11,5,32,117,0,2020-07-15
Hôpital du Sacré-Coeur de Montréal,98,46,45,10,1,33,149,0,2020-07-15
Hôpital Fleury,50,18,9,1,0,17,82,0,2020-07-15
Hôpital Jean-Talon,77,22,17,4,0,25,85,0,2020-07-15
Pavillon Albert-Prévost,46,13,6,0,0,1,7,0,2020-07-15
Hôpital de Lachine,114,14,16,3,0,8,53,0,2020-07-15
Hôpital général de Montréal,94,31,29,5,1,29,84,0,2020-07-15
Hôpital Royal Victoria,136,33,45,11,2,19,118,0,2020-07-15
L'hôpital de Montréal pour enfants,75,12,9,0,0,4,144,0,2020-07-15
Institut de cardiologie de Montréal,68,22,15,3,0,2,40,0,2020-07-15
CHU Sainte-Justine,6,16,1,0,0,6,146,18,2020-07-16
Centre hospitalier de l'Université de Montréal,118,51,60,10,1,46,175,0,2020-07-16
Hôpital Louis-H. Lafontaine,25,12,3,2,2,1,9,0,2020-07-16
Hôpital Santa Cabrini,95,38,36,9,2,31,89,0,2020-07-16
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,96,54,52,10,2,47,179,0,2020-07-16
Centre hospitalier de St. Mary,105,22,23,1,0,15,94,0,2020-07-16
Hôpital de LaSalle,113,15,17,2,0,9,83,0,2020-07-16
Hôpital Douglas,67,6,4,0,0,1,21,0,2020-07-16
Hôpital général du Lakeshore,94,31,29,6,0,19,88,0,2020-07-16
L'Hôpital général juif Sir Mortimer B. Davis,102,53,54,5,1,30,213,1,2020-07-16
Hôpital de Verdun,119,26,31,4,1,31,110,0,2020-07-16
Hôpital Notre-Dame,111,35,39,15,2,34,108,0,2020-07-16
Hôpital du Sacré-Coeur de Montréal,102,46,47,12,0,29,144,0,2020-07-16
Hôpital Fleury,61,18,11,1,0,17,77,0,2020-07-16
Hôpital Jean-Talon,91,22,20,2,0,17,80,1,2020-07-16
Pavillon Albert-Prévost,46,13,6,0,0,2,10,0,2020-07-16
Hôpital de Lachine,79,14,11,4,0,9,41,0,2020-07-16
Hôpital général de Montréal,94,31,29,3,0,28,83,0,2020-07-16
Hôpital Royal Victoria,97,33,32,7,3,16,118,0,2020-07-16
L'hôpital de Montréal pour enfants,92,12,11,1,0,3,123,1,2020-07-16
Institut de cardiologie de Montréal,55,22,12,3,0,2,60,0,2020-07-16
CHU Sainte-Justine,44,16,7,0,0,9,152,10,2020-07-17
Centre hospitalier de l'Université de Montréal,94,51,48,10,0,49,173,0,2020-07-17
Hôpital Louis-H. Lafontaine,0,12,0,0,0,1,9,0,2020-07-17
Hôpital Santa Cabrini,103,38,39,15,4,29,101,0,2020-07-17
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,107,54,58,10,2,43,167,0,2020-07-17
Centre hospitalier de St. Mary,82,22,18,3,0,18,93,0,2020-07-17
Hôpital de LaSalle,80,15,12,0,0,12,64,0,2020-07-17
Hôpital Douglas,67,6,4,0,0,2,16,0,2020-07-17
Hôpital général du Lakeshore,48,31,15,0,0,16,99,0,2020-07-17
L'Hôpital général juif Sir Mortimer B. Davis,81,53,43,5,1,32,198,1,2020-07-17
Hôpital de Verdun,69,26,18,1,0,28,91,0,2020-07-17
Hôpital Notre-Dame,86,35,30,9,1,28,85,0,2020-07-17
Hôpital du Sacré-Coeur de Montréal,76,46,35,5,0,32,149,0,2020-07-17
Hôpital Fleury,100,18,18,1,0,21,83,0,2020-07-17
Hôpital Jean-Talon,77,22,17,1,0,16,104,0,2020-07-17
Pavillon Albert-Prévost,38,13,5,0,0,1,11,0,2020-07-17
Hôpital de Lachine,93,14,13,2,2,9,33,0,2020-07-17
Hôpital général de Montréal,81,31,25,6,0,28,79,0,2020-07-17
Hôpital Royal Victoria,115,33,38,4,1,26,127,0,2020-07-17
L'hôpital de Montréal pour enfants,83,12,10,0,0,3,133,0,2020-07-17
Institut de cardiologie de Montréal,59,22,13,1,0,2,49,0,2020-07-17
CHU Sainte-Justine,25,16,4,0,0,7,138,18,2020-07-18
Centre hospitalier de l'Université de Montréal,69,51,35,8,0,45,125,0,2020-07-18
Hôpital Louis-H. Lafontaine,8,12,1,0,0,1,15,0,2020-07-18
Hôpital Santa Cabrini,113,38,43,21,10,32,89,0,2020-07-18
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,115,54,62,28,2,50,152,0,2020-07-18
Centre hospitalier de St. Mary,105,22,23,6,1,15,82,0,2020-07-18
Hôpital de LaSalle,73,15,11,1,0,11,60,0,2020-07-18
Hôpital Douglas,67,6,4,0,0,1,6,0,2020-07-18
Hôpital général du Lakeshore,77,31,24,2,0,21,100,0,2020-07-18
L'Hôpital général juif Sir Mortimer B. Davis,85,53,45,7,1,36,174,0,2020-07-18
Hôpital de Verdun,100,26,26,6,0,25,66,0,2020-07-18
Hôpital Notre-Dame,111,35,39,16,3,34,80,0,2020-07-18
Hôpital du Sacré-Coeur de Montréal,87,46,40,8,1,37,159,0,2020-07-18
Hôpital Fleury,72,18,13,3,0,14,65,0,2020-07-18
Hôpital Jean-Talon,73,22,16,5,0,18,94,0,2020-07-18
Pavillon Albert-Prévost,46,13,6,0,0,1,8,0,2020-07-18
Hôpital de Lachine,86,14,12,4,0,7,32,0,2020-07-18
Hôpital général de Montréal,110,31,34,7,4,25,74,1,2020-07-18
Hôpital Royal Victoria,73,33,24,5,0,14,93,0,2020-07-18
L'hôpital de Montréal pour enfants,75,12,9,1,0,3,107,1,2020-07-18
Institut de cardiologie de Montréal,27,22,6,0,0,2,28,0,2020-07-18
CHU Sainte-Justine,50,16,8,0,0,13,157,23,2020-07-19
Centre hospitalier de l'Université de Montréal,112,51,57,14,1,44,131,0,2020-07-19
Hôpital Louis-H. Lafontaine,0,12,0,0,0,2,10,0,2020-07-19
Hôpital Santa Cabrini,118,38,45,22,16,37,84,0,2020-07-19
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,139,54,75,28,10,45,180,0,2020-07-19
Centre hospitalier de St. Mary,105,22,23,2,0,25,76,1,2020-07-19
Hôpital de LaSalle,80,15,12,4,0,11,59,0,2020-07-19
Hôpital Douglas,33,6,2,0,0,3,11,0,2020-07-19
Hôpital général du Lakeshore,100,31,31,5,0,20,102,0,2020-07-19
L'Hôpital général juif Sir Mortimer B. Davis,106,53,56,10,4,36,173,0,2020-07-19
Hôpital de Verdun,104,26,27,9,3,30,82,0,2020-07-19
Hôpital Notre-Dame,117,35,41,16,5,32,90,0,2020-07-19
Hôpital du Sacré-Coeur de Montréal,100,46,46,14,4,32,116,0,2020-07-19
Hôpital Fleury,78,18,14,0,0,15,68,0,2020-07-19
Hôpital Jean-Talon,105,22,23,6,2,20,67,0,2020-07-19
Pavillon Albert-Prévost,54,13,7,1,0,1,11,0,2020-07-19
Hôpital de Lachine,71,14,10,2,0,11,34,0,2020-07-19
Hôpital général de Montréal,103,31,32,10,4,19,65,0,2020-07-19
Hôpital Royal Victoria,97,33,32,7,2,13,95,0,2020-07-19
L'hôpital de Montréal pour enfants,33,12,4,0,0,4,130,2,2020-07-19
Institut de cardiologie de Montréal,32,22,7,0,0,2,34,0,2020-07-19
CHU Sainte-Justine,44,16,7,0,0,9,174,18,2020-07-20
Centre hospitalier de l'Université de Montréal,102,51,52,15,0,46,182,0,2020-07-20
Hôpital Louis-H. Lafontaine,25,12,3,0,0,0,7,0,2020-07-20
Hôpital Santa Cabrini,95,38,36,19,8,32,110,0,2020-07-20
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,146,54,79,26,4,37,185,1,2020-07-20
Centre hospitalier de St. Mary,114,22,25,5,0,24,113,0,2020-07-20
Hôpital de LaSalle,113,15,17,7,1,8,77,0,2020-07-20
Hôpital Douglas,100,6,6,0,0,4,23,0,2020-07-20
Hôpital général du Lakeshore,103,31,32,7,0,15,112,0,2020-07-20
L'Hôpital général juif Sir Mortimer B. Davis,108,53,57,6,3,38,228,0,2020-07-20
Hôpital de Verdun,131,26,34,9,1,17,91,0,2020-07-20
Hôpital Notre-Dame,117,35,41,22,5,33,103,0,2020-07-20
Hôpital du Sacré-Coeur de Montréal,117,46,54,21,6,31,155,0,2020-07-20
Hôpital Fleury,72,18,13,2,0,21,95,0,2020-07-20
Hôpital Jean-Talon,73,22,16,6,0,22,110,0,2020-07-20
Pavillon Albert-Prévost,54,13,7,3,0,2,11,0,2020-07-20
Hôpital de Lachine,36,14,5,1,0,9,52,0,2020-07-20
Hôpital général de Montréal,119,31,37,12,4,23,85,1,2020-07-20
Hôpital Royal Victoria,124,33,41,17,6,19,152,0,2020-07-20
L'hôpital de Montréal pour enfants,33,12,4,0,0,2,145,2,2020-07-20
Institut de cardiologie de Montréal,36,22,8,1,0,4,42,0,2020-07-20
CHU Sainte-Justine,19,16,3,0,0,7,142,22,2020-07-21
Centre hospitalier de l'Université de Montréal,116,51,59,18,6,45,175,0,2020-07-21
Hôpital Louis-H. Lafontaine,25,12,3,2,0,0,7,0,2020-07-21
Hôpital Santa Cabrini,113,38,43,21,11,33,111,0,2020-07-21
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,174,54,94,31,6,41,192,1,2020-07-21
Centre hospitalier de St. Mary,109,22,24,5,0,21,93,1,2020-07-21
Hôpital de LaSalle,67,15,10,1,0,10,66,0,2020-07-21
Hôpital Douglas,50,6,3,0,0,7,19,0,2020-07-21
Hôpital général du Lakeshore,132,31,41,4,0,19,105,0,2020-07-21
L'Hôpital général juif Sir Mortimer B. Davis,119,53,63,8,2,36,226,0,2020-07-21
Hôpital de Verdun,162,26,42,17,5,25,93,0,2020-07-21
Hôpital Notre-Dame,131,35,46,20,4,40,106,0,2020-07-21
Hôpital du Sacré-Coeur de Montréal,100,46,46,20,4,31,153,0,2020-07-21
Hôpital Fleury,72,18,13,2,0,20,84,0,2020-07-21
Hôpital Jean-Talon,95,22,21,2,2,28,112,0,2020-07-21
Pavillon Albert-Prévost,54,13,7,2,0,3,14,0,2020-07-21
Hôpital de Lachine,86,14,12,0,0,10,44,0,2020-07-21
Hôpital général de Montréal,106,31,33,9,3,34,89,0,2020-07-21
Hôpital Royal Victoria,106,33,35,8,1,18,115,0,2020-07-21
L'hôpital de Montréal pour enfants,67,12,8,0,0,2,123,0,2020-07-21
Institut de cardiologie de Montréal,73,22,16,2,0,5,63,0,2020-07-21
CHU Sainte-Justine,38,16,6,0,0,4,144,7,2020-07-22
Centre hospitalier de l'Université de Montréal,108,51,55,8,2,46,169,0,2020-07-22
Hôpital Louis-H. Lafontaine,25,12,3,1,0,3,15,0,2020-07-22
Hôpital Santa Cabrini,124,38,47,25,13,30,91,0,2020-07-22
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,117,54,63,26,5,38,168,1,2020-07-22
Centre hospitalier de St. Mary,91,22,20,6,2,9,93,0,2020-07-22
Hôpital de LaSalle,120,15,18,1,0,12,67,0,2020-07-22
Hôpital Douglas,0,6,0,0,0,1,16,0,2020-07-22
Hôpital général du Lakeshore,116,31,36,8,0,16,99,0,2020-07-22
L'Hôpital général juif Sir Mortimer B. Davis,102,53,54,8,0,31,204,0,2020-07-22
Hôpital de Verdun,146,26,38,15,2,27,104,0,2020-07-22
Hôpital Notre-Dame,117,35,41,14,0,27,100,0,2020-07-22
Hôpital du Sacré-Coeur de Montréal,113,46,52,19,8,23,131,1,2020-07-22
Hôpital Fleury,72,18,13,2,0,10,88,0,2020-07-22
Hôpital Jean-Talon,68,22,15,4,0,20,93,0,2020-07-22
Pavillon Albert-Prévost,54,13,7,1,0,1,9,0,2020-07-22
Hôpital de Lachine,121,14,17,4,0,9,44,0,2020-07-22
Hôpital général de Montréal,116,31,36,12,3,21,65,0,2020-07-22
Hôpital Royal Victoria,100,33,33,10,0,17,130,0,2020-07-22
L'hôpital de Montréal pour enfants,75,12,9,0,0,1,134,4,2020-07-22
Institut de cardiologie de Montréal,50,22,11,1,0,6,56,0,2020-07-22
CHU Sainte-Justine,62,16,10,0,0,6,188,12,2020-07-23
Centre hospitalier de l'Université de Montréal,90,51,46,10,1,42,164,0,2020-07-23
Hôpital Louis-H. Lafontaine,50,12,6,1,1,2,11,0,2020-07-23
Hôpital Santa Cabrini,74,38,28,12,6,34,87,0,2020-07-23
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,128,54,69,22,8,45,195,2,2020-07-23
Centre hospitalier de St. Mary,82,22,18,2,0,23,95,0,2020-07-23
Hôpital de LaSalle,87,15,13,2,0,9,73,0,2020-07-23
Hôpital Douglas,50,6,3,0,0,3,17,0,2020-07-23
Hôpital général du Lakeshore,116,31,36,6,0,26,124,0,2020-07-23
L'Hôpital général juif Sir Mortimer B. Davis,87,53,46,4,2,41,219,0,2020-07-23
Hôpital de Verdun,146,26,38,12,0,26,108,0,2020-07-23
Hôpital Notre-Dame,106,35,37,14,3,38,97,0,2020-07-23
Hôpital du Sacré-Coeur de Montréal,107,46,49,16,4,34,147,0,2020-07-23
Hôpital Fleury,83,18,15,0,0,24,96,0,2020-07-23
Hôpital Jean-Talon,82,22,18,0,0,20,115,0,2020-07-23
Pavillon Albert-Prévost,31,13,4,0,0,1,7,0,2020-07-23
Hôpital de Lachine,43,14,6,3,0,6,38,0,2020-07-23
Hôpital général de Montréal,97,31,30,5,1,21,76,0,2020-07-23
Hôpital Royal Victoria,91,33,30,6,2,16,121,0,2020-07-23
L'hôpital de Montréal pour enfants,92,12,11,0,0,5,128,1,2020-07-23
Institut de cardiologie de Montréal,45,22,10,1,0,0,44,0,2020-07-23
CHU Sainte-Justine,44,16,7,0,0,12,159,30,2020-07-24
Centre hospitalier de l'Université de Montréal,80,51,41,8,3,44,150,0,2020-07-24
Hôpital Louis-H. Lafontaine,25,12,3,0,0,2,14,0,2020-07-24
Hôpital Santa Cabrini,87,38,33,8,2,37,111,0,2020-07-24
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,76,54,41,10,5,34,162,1,2020-07-24
Centre hospitalier de St. Mary,95,22,21,2,0,20,101,0,2020-07-24
Hôpital de LaSalle,80,15,12,5,0,13,67,0,2020-07-24
Hôpital Douglas,133,6,8,0,0,4,20,0,2020-07-24
Hôpital général du Lakeshore,116,31,36,5,0,23,104,0,2020-07-24
L'Hôpital général juif Sir Mortimer B. Davis,138,53,73,11,2,42,211,0,2020-07-24
Hôpital de Verdun,81,26,21,3,0,27,95,0,2020-07-24
Hôpital Notre-Dame,89,35,31,10,3,31,99,0,2020-07-24
Hôpital du Sacré-Coeur de Montréal,78,46,36,6,4,31,151,1,2020-07-24
Hôpital Fleury,72,18,13,1,0,20,86,0,2020-07-24
Hôpital Jean-Talon,77,22,17,0,0,20,103,2,2020-07-24
Pavillon Albert-Prévost,15,13,2,0,0,1,6,0,2020-07-24
Hôpital de Lachine,36,14,5,0,0,11,42,0,2020-07-24
Hôpital général de Montréal,106,31,33,5,2,28,79,0,2020-07-24
Hôpital Royal Victoria,88,33,29,6,2,17,115,0,2020-07-24
L'hôpital de Montréal pour enfants,33,12,4,0,0,8,133,4,2020-07-24
Institut de cardiologie de Montréal,23,22,5,0,0,0,48,0,2020-07-24
CHU Sainte-Justine,19,16,3,0,0,11,150,20,2020-07-25
Centre hospitalier de l'Université de Montréal,71,51,36,4,2,37,133,0,2020-07-25
Hôpital Louis-H. Lafontaine,50,12,6,3,0,3,11,0,2020-07-25
Hôpital Santa Cabrini,89,38,34,13,3,30,79,0,2020-07-25
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,94,54,51,13,3,34,163,0,2020-07-25
Centre hospitalier de St. Mary,59,22,13,0,0,18,82,0,2020-07-25
Hôpital de LaSalle,80,15,12,3,0,8,59,0,2020-07-25
Hôpital Douglas,183,6,11,1,0,2,16,0,2020-07-25
Hôpital général du Lakeshore,126,31,39,12,0,17,113,0,2020-07-25
L'Hôpital général juif Sir Mortimer B. Davis,87,53,46,9,6,28,184,0,2020-07-25
Hôpital de Verdun,138,26,36,7,0,22,79,0,2020-07-25
Hôpital Notre-Dame,77,35,27,8,1,25,74,0,2020-07-25
Hôpital du Sacré-Coeur de Montréal,83,46,38,11,4,22,141,0,2020-07-25
Hôpital Fleury,78,18,14,0,0,17,69,0,2020-07-25
Hôpital Jean-Talon,50,22,11,2,0,16,79,0,2020-07-25
Pavillon Albert-Prévost,46,13,6,2,0,1,8,0,2020-07-25
Hôpital de Lachine,50,14,7,0,0,9,38,0,2020-07-25
Hôpital général de Montréal,132,31,41,13,3,41,89,0,2020-07-25
Hôpital Royal Victoria,67,33,22,5,1,17,108,0,2020-07-25
L'hôpital de Montréal pour enfants,25,12,3,0,0,2,115,4,2020-07-25
Institut de cardiologie de Montréal,32,22,7,1,0,3,29,0,2020-07-25
CHU Sainte-Justine,19,16,3,0,0,9,151,27,2020-07-26
Centre hospitalier de l'Université de Montréal,100,51,51,5,2,46,132,0,2020-07-26
Hôpital Louis-H. Lafontaine,42,12,5,3,0,0,15,0,2020-07-26
Hôpital Santa Cabrini,103,38,39,15,8,26,83,0,2020-07-26
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,109,54,59,13,4,42,161,0,2020-07-26
Centre hospitalier de St. Mary,77,22,17,0,0,21,72,0,2020-07-26
Hôpital de LaSalle,67,15,10,1,0,6,59,0,2020-07-26
Hôpital Douglas,133,6,8,3,0,4,9,0,2020-07-26
Hôpital général du Lakeshore,129,31,40,10,1,19,103,0,2020-07-26
L'Hôpital général juif Sir Mortimer B. Davis,98,53,52,14,7,37,177,0,2020-07-26
Hôpital de Verdun,131,26,34,15,1,30,91,0,2020-07-26
Hôpital Notre-Dame,94,35,33,11,5,35,90,0,2020-07-26
Hôpital du Sacré-Coeur de Montréal,96,46,44,13,3,24,134,0,2020-07-26
Hôpital Fleury,50,18,9,1,0,19,63,0,2020-07-26
Hôpital Jean-Talon,55,22,12,1,0,19,91,0,2020-07-26
Pavillon Albert-Prévost,38,13,5,2,0,1,7,0,2020-07-26
Hôpital de Lachine,71,14,10,1,0,4,34,0,2020-07-26
Hôpital général de Montréal,90,31,28,8,4,27,61,0,2020-07-26
Hôpital Royal Victoria,118,33,39,6,3,22,118,0,2020-07-26
L'hôpital de Montréal pour enfants,58,12,7,0,0,1,125,1,2020-07-26
Institut de cardiologie de Montréal,36,22,8,2,0,1,21,0,2020-07-26
CHU Sainte-Justine,38,16,6,0,0,8,155,27,2020-07-27
Centre hospitalier de l'Université de Montréal,108,51,55,10,1,47,185,0,2020-07-27
Hôpital Louis-H. Lafontaine,67,12,8,1,0,3,15,0,2020-07-27
Hôpital Santa Cabrini,103,38,39,11,2,36,121,0,2020-07-27
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,104,54,56,3,0,45,177,1,2020-07-27
Centre hospitalier de St. Mary,91,22,20,4,0,22,114,0,2020-07-27
Hôpital de LaSalle,113,15,17,0,0,10,70,0,2020-07-27
Hôpital Douglas,117,6,7,1,0,3,22,0,2020-07-27
Hôpital général du Lakeshore,126,31,39,12,1,22,115,0,2020-07-27
L'Hôpital général juif Sir Mortimer B. Davis,115,53,61,11,4,32,243,1,2020-07-27
Hôpital de Verdun,108,26,28,11,3,29,113,0,2020-07-27
Hôpital Notre-Dame,91,35,32,9,3,28,108,0,2020-07-27
Hôpital du Sacré-Coeur de Montréal,122,46,56,16,3,29,163,0,2020-07-27
Hôpital Fleury,106,18,19,0,0,21,95,0,2020-07-27
Hôpital Jean-Talon,77,22,17,4,0,20,101,0,2020-07-27
Pavillon Albert-Prévost,38,13,5,3,0,0,8,0,2020-07-27
Hôpital de Lachine,71,14,10,1,0,15,49,0,2020-07-27
Hôpital général de Montréal,103,31,32,8,2,31,92,0,2020-07-27
Hôpital Royal Victoria,133,33,44,13,1,24,146,0,2020-07-27
L'hôpital de Montréal pour enfants,67,12,8,0,0,4,133,1,2020-07-27
Institut de cardiologie de Montréal,59,22,13,3,1,1,57,0,2020-07-27
CHU Sainte-Justine,38,16,6,0,0,9,144,16,2020-07-28
Centre hospitalier de l'Université de Montréal,120,51,61,4,0,48,169,0,2020-07-28
Hôpital Louis-H. Lafontaine,75,12,9,5,1,3,11,0,2020-07-28
Hôpital Santa Cabrini,103,38,39,11,3,40,100,0,2020-07-28
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,137,54,74,14,0,48,177,0,2020-07-28
Centre hospitalier de St. Mary,68,22,15,5,1,19,105,0,2020-07-28
Hôpital de LaSalle,113,15,17,6,0,12,82,0,2020-07-28
Hôpital Douglas,167,6,10,0,0,8,24,0,2020-07-28
Hôpital général du Lakeshore,119,31,37,13,0,26,124,0,2020-07-28
L'Hôpital général juif Sir Mortimer B. Davis,111,53,59,10,4,40,247,0,2020-07-28
Hôpital de Verdun,100,26,26,7,1,28,93,0,2020-07-28
Hôpital Notre-Dame,114,35,40,11,1,41,119,0,2020-07-28
Hôpital du Sacré-Coeur de Montréal,107,46,49,19,5,35,166,0,2020-07-28
Hôpital Fleury,67,18,12,0,0,20,92,0,2020-07-28
Hôpital Jean-Talon,95,22,21,5,0,21,106,0,2020-07-28
Pavillon Albert-Prévost,31,13,4,0,0,2,9,0,2020-07-28
Hôpital de Lachine,50,14,7,0,0,11,41,0,2020-07-28
Hôpital général de Montréal,100,31,31,6,1,26,91,0,2020-07-28
Hôpital Royal Victoria,121,33,40,14,1,20,153,1,2020-07-28
L'hôpital de Montréal pour enfants,50,12,6,0,0,3,120,0,2020-07-28
Institut de cardiologie de Montréal,68,22,15,5,1,6,62,0,2020-07-28
CHU Sainte-Justine,19,16,3,0,0,7,159,15,2020-07-29
Centre hospitalier de l'Université de Montréal,88,51,45,13,1,54,168,0,2020-07-29
Hôpital Louis-H. Lafontaine,67,12,8,4,3,2,11,0,2020-07-29
Hôpital Santa Cabrini,105,38,40,16,6,30,99,0,2020-07-29
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,131,54,71,19,1,53,201,0,2020-07-29
Centre hospitalier de St. Mary,91,22,20,1,0,15,98,1,2020-07-29
Hôpital de LaSalle,127,15,19,6,0,7,64,0,2020-07-29
Hôpital Douglas,217,6,13,2,0,4,21,0,2020-07-29
Hôpital général du Lakeshore,135,31,42,14,0,22,111,0,2020-07-29
L'Hôpital général juif Sir Mortimer B. Davis,104,53,55,4,2,38,225,0,2020-07-29
Hôpital de Verdun,104,26,27,5,0,27,111,0,2020-07-29
Hôpital Notre-Dame,120,35,42,15,2,33,100,0,2020-07-29
Hôpital du Sacré-Coeur de Montréal,96,46,44,18,3,27,189,0,2020-07-29
Hôpital Fleury,61,18,11,2,0,19,98,0,2020-07-29
Hôpital Jean-Talon,64,22,14,2,0,21,90,0,2020-07-29
Pavillon Albert-Prévost,46,13,6,1,0,0,12,0,2020-07-29
Hôpital de Lachine,71,14,10,1,0,11,55,0,2020-07-29
